unix_time,players,rounds,score,time_s
1698135463.894,3,1,153,10.138000011444092
1698135481.33,3,1,170,10.842999935150146
1698135528.538,4,1,93,8.017000198364258
1698135544.193,4,1,204,12.146000146865845
1698135572.43,4,1,503,24.177000045776367
1698135602.864,4,1,458,22.009999990463257
1698135636.363,4,1,666,30.355000019073486
1698135671.355,4,1,635,29.243000030517578
1698135708.703,4,1,704,31.812000036239624
1698135730.652,4,1,326,17.289000034332275
1698135772.171,4,1,885,39.4300000667572
1698135793.937,4,1,282,15.20799994468689
1698135828.594,4,1,716,32.664000034332275
1698135844.966,4,1,233,13.343000173568726
1698135857.788,4,1,137,9.452000141143799
1698136041.969,3,1,231,13.328999996185303
1698136075.825,3,1,375,19.121000051498413
1698136130.882,3,1,275,15.07200002670288
1698136169.736,3,1,429,21.27900004386902
1698136193.204,3,1,385,19.46499991416931
1698136215.622,3,1,325,17.01099991798401
1698136240.835,3,1,359,18.312000036239624
1698136269.678,3,1,461,22.246999979019165
1698136307.609,3,1,594,27.728999853134155
1698136343.827,3,1,259,14.29099988937378
1698136418.551,3,1,372,20.063000202178955
1698136449.662,3,1,577,27.146999835968018
1698136593.152,3,1,762,34.513999938964844
1698136662.115,3,3,2262,58.54100012779236
1698136736.216,3,1,667,30.72100019454956
1698136776.761,3,1,506,24.246999979019165
1698136798.33,3,1,348,17.875
1698136827.194,3,1,435,21.431999921798706
1698136877.625,3,2,1494,46.00200009346008
1698137032.378,3,1,95,8.556999921798706
1698137048.68,3,1,100,8.03600001335144
1698137063.435,3,1,165,10.688999891281128
1698137089.444,3,2,868,20.812999963760376
1698137117.812,3,1,556,26.210999965667725
1698137145.924,3,1,528,25.17799997329712
1698137186.901,3,3,1705,36.14300012588501
1698137217.999,3,1,590,27.569000005722046
1698137252.208,3,2,1126,31.019999980926514
1698137264.513,3,1,165,10.555999994277954
1698137289.884,3,2,893,21.81000018119812
1698137306.065,3,1,184,11.420000076293945
1698137356.855,3,2,1337,39.437999963760376
1698137366.279,3,1,72,6.980999946594238
1698137691.864,2,1,16,4.526000022888184
1698137788.239,3,3,1689,35.61300015449524
1698137828.182,3,2,914,22.52999997138977
1698137898.359,3,5,3214,60.5789999961853
1698138842.069,3,6,3780,65.7039999961853
1698138904.688,3,3,2057,50.348000049591064
1698138949.171,3,3,1880,43.23399996757507
1698139001.843,3,3,1993,47.675999879837036
1698139098.714,3,7,4972,95.00999999046326
1698139241.868,3,1,526,25.05400013923645
1698139292.373,3,3,1929,45.12899994850159
1698139336.064,3,2,1319,38.734999895095825
1698139384.596,3,3,1901,44.08899998664856
1698139435.088,3,4,2359,44.335999965667725
1698139510.105,3,7,4278,67.22000002861023
1698139628.481,4,2,1312,38.486000061035156
1698139697.55,4,5,3299,64.0939998626709
1698139783.016,4,6,4094,77.78600001335144
1698139827.457,4,1,305,16.125999927520752
1698139872.6,4,2,1382,41.34099984169006
1698139937.489,4,4,2797,61.83400011062622
1698139969.41,4,2,1086,29.39300012588501
1698140046.468,4,5,3571,74.92400002479553
1698140064.522,4,1,284,15.30400013923645
1698140224.192,3,3,1805,40.20899987220764
1698140278.958,3,5,2909,48.55999994277954
1698140352.039,3,7,4289,67.59800004959106
1698140445.976,3,8,5189,85.67300009727478
1698141377.496,2,15,9014,113.29800009727478
